title,description,category,resolution,priority
CRM Portal returning HTTP 503 errors,Email Service is returning HTTP 401 errors for users. Started 30 minutes ago. Affecting approximately 362 users. Browser: Edge 120. Error: ERR_TIMEOUT.,Application,"1. Check application logs for stack traces and error details.
2. Verify backend service health and database connectivity.
3. If 5xx: restart the application pods/processes.
4. If 4xx: check recent deployment changes for routing/auth issues.
5. Monitor error rates post-fix and notify affected users.",Critical
WiFi connectivity issues in Cafeteria,Multiple employees reporting WiFi dropping or slow speeds in the 3rd floor. Speed test shows 1Mbps vs expected 119Mbps. 26 users affected. AP model: Ruckus.,Network,"1. Check access point dashboard for the affected area.
2. Verify AP hardware status — reboot if unresponsive.
3. Check channel congestion and switch to less crowded channels.
4. Verify PoE switch is providing adequate power to the AP.
5. Deploy additional APs if coverage is insufficient.
6. Check for RF interference from nearby devices.",Low
MariaDB user permissions misconfigured for SRE,Security members have missing SELECT grants on new tables in Redis for the pre-prod environment. Discovered during failed query.,Database,"1. Review current grants for the affected database role.
2. Revoke excessive permissions immediately.
3. Grant only the minimum required permissions (principle of least privilege).
4. Create application-specific roles with scoped access.
5. Document the permission model and add to onboarding checklist.
6. Schedule quarterly access reviews.",Medium
Oracle replication lag at 683 seconds,Read replica of SQL Server on prod-cache-16 has a replication lag of 1942 seconds. SSO Portal reads from the replica are returning stale data. This is affecting user profile reads. Environment: sandbox.,Database,"1. Check replica status and identify the bottleneck.
2. Review write throughput on the primary — check for bulk operations.
3. Ensure the replica has sufficient IOPS and network bandwidth.
4. Temporarily direct reads to the primary if lag is critical.
5. Consider adding more replicas or upgrading instance size.
6. Set up replication lag monitoring with 60s threshold alerts.",High
WiFi connectivity issues in Building A,Multiple employees reporting WiFi dropping or slow speeds in the 3rd floor. Speed test shows 3Mbps vs expected 184Mbps. 29 users affected. AP model: Aruba.,Network,"1. Check access point dashboard for the affected area.
2. Verify AP hardware status — reboot if unresponsive.
3. Check channel congestion and switch to less crowded channels.
4. Verify PoE switch is providing adequate power to the AP.
5. Deploy additional APs if coverage is insufficient.
6. Check for RF interference from nearby devices.",Low
Permission request for Azure resources,vikram.williams@company.com from QA requesting read-only access to GCP Lambda functions in production environment. Business justification: compliance audit.,Access Management,"1. Verify the request and manager approval.
2. Create/identify an appropriate IAM role or group.
3. Grant scoped access following least-privilege principle.
4. Set an access expiration date if this is temporary access.
5. Document the access grant in the access management log.
6. Notify the user that access has been provisioned.",Medium
Kubernetes pod scheduling failures in QA,Multiple pods for Document Manager are stuck in Pending state in the production cluster. kubectl describe shows insufficient CPU/memory. The Database team cannot deploy.,Infrastructure,"1. Check node resource utilization: `kubectl top nodes`.
2. Identify resource-hungry pods: `kubectl top pods --all-namespaces`.
3. Scale up worker node group or add new nodes.
4. Review and optimize resource requests/limits for pods.
5. Consider enabling cluster autoscaler.",High
API key generation request for Analytics Dashboard,alex.jones@company.com from ML needs API keys for Payment Gateway in DR environment. Purpose: third-party integration. Needs read-only access scope.,Access Management,"1. Verify the request and business justification.
2. Generate API key with the minimum required scope.
3. Store the key in environment variables.
4. Set key expiration per security policy (max 90 days).
5. Document the API key and its purpose in the access log.
6. Share the key securely (never via email or chat).",Low
MySQL deadlock detected in Ticket System,Frequent deadlocks occurring in Cassandra when Monitoring Dashboard processes user session writes. 84 deadlocks in the last hour. Transaction rollbacks affecting user experience.,Database,"1. Analyze deadlock logs to identify the conflicting transactions.
2. Review application locking order — ensure consistent acquisition order.
3. Reduce transaction scope and duration.
4. Add appropriate row-level locking hints.
5. Implement retry logic for deadlock errors in application code.
6. Consider optimistic locking where possible.",Medium
Database migration failed for Analytics Dashboard,Schema migration for API Gateway on MongoDB (staging) failed mid-way. Migration altered an index. The database is now in an inconsistent state. Rollback was not attempted.,Database,"1. Assess current schema state vs expected state.
2. If possible, manually complete or roll back the failed migration.
3. Fix the migration script for idempotency.
4. Restore from the pre-migration backup if state is unrecoverable.
5. Re-run the migration in a staging environment first.
6. Implement migration dry-run and backup as pre-deployment steps.",Critical
Unauthorized access to Azure console detected,CloudTrail/Activity Log shows unauthorized API calls from an unrecognized IP 14.89.216.55 using IAM user devops-bot. Actions include: CreateUser. Credentials may be compromised.,Security,"1. Immediately rotate/deactivate the compromised IAM credentials.
2. Review CloudTrail logs for all actions taken by the compromised user.
3. Revert any unauthorized changes (new users, policies, resources).
4. Enable MFA on all IAM accounts if not already enabled.
5. Implement IP-based access restrictions for console access.
6. Conduct a full IAM access review.",Critical
DNS resolution failures for internal services,Internal DNS resolution failing intermittently. *.svc.cluster.local not resolving. Affecting 13 services including Analytics Dashboard. DNS server: 23.189.252.49. Started since this morning ago.,Network,"1. Check DNS server health and query logs.
2. Verify DNS zone configurations and SOA records.
3. Flush DNS cache on affected clients: `ipconfig /flushdns` or equivalent.
4. Check if DNS server is overwhelmed — add secondary DNS.
5. Verify network ACLs are not blocking DNS (UDP/TCP 53).
6. Test resolution with `nslookup` and `dig` for debugging.",High
Phishing email reported by SRE team members,Multiple users from Frontend reported a phishing email impersonating Microsoft. Email contains a malicious link. 12 users may have interacted with it.,Security,"1. Block the sender domain at the email gateway.
2. Search mailboxes for the phishing email and delete all instances.
3. Identify users who clicked the link or opened the attachment.
4. Force password resets for affected users.
5. Run endpoint scans on machines that interacted with the email.
6. Send a company-wide phishing awareness reminder.",Critical
Permission request for AWS resources,emma.brown@company.com from Security requesting admin access to AWS Kubernetes cluster in QA environment. Business justification: running data analysis.,Access Management,"1. Verify the request and manager approval.
2. Create/identify an appropriate IAM role or group.
3. Grant scoped access following least-privilege principle.
4. Set an access expiration date if this is temporary access.
5. Document the access grant in the access management log.
6. Notify the user that access has been provisioned.",Low
Scheduled job failures in Chat Service,Cron/scheduled jobs in HR Dashboard have been failing since 10 minutes ago. Jobs: report generation. Error: ORA-12541. Environment: DR.,Application,"1. Check cron job logs for specific error messages.
2. Verify database/external service connectivity from the job runner.
3. Check if job runner has sufficient resources (CPU/memory).
4. Manually trigger the failed job to test.
5. Fix the root cause, clear any stuck/orphaned job locks, and re-enable scheduling.",High
Reporting Engine login page broken after update,"Users cannot log into Chat Service after the latest release. Login form submits but returns a blank page or EPERM. Affecting all users on Firefox 121, macOS Sonoma. SSO redirect flow is broken.",Application,"1. Check frontend console errors in the browser.
2. Verify SSO/OAuth callback URLs are correctly configured.
3. Check if the auth service/identity provider is reachable.
4. Review recent code changes to the login flow.
5. Roll back the frontend build if needed and redeploy.",Critical
Phishing email reported by ML team members,Multiple users from DevOps reported a phishing email impersonating Microsoft. Email contains a fake invoice. 22 users may have interacted with it.,Security,"1. Block the sender domain at the email gateway.
2. Search mailboxes for the phishing email and delete all instances.
3. Identify users who clicked the link or opened the attachment.
4. Force password resets for affected users.
5. Run endpoint scans on machines that interacted with the email.
6. Send a company-wide phishing awareness reminder.",Critical
Shared service account password rotation for API Gateway,"Shared service account used by CRM Portal across DevOps needs password rotation. Current password has been in use for 347 days, violating 77-day rotation policy. 8 team members know the current password.",Access Management,"1. Generate a new strong password meeting policy requirements.
2. Update the password in the identity provider.
3. Update all services/scripts using this credential.
4. Store new password in shared password manager (Vault/1Password).
5. Revoke knowledge of old password from team members.
6. Consider replacing shared accounts with per-user service accounts.
7. Implement automated rotation via secret management tool.",Medium
Unauthorized access to GCP console detected,CloudTrail/Activity Log shows unauthorized API calls from an unrecognized IP 102.100.237.182 using IAM user admin. Actions include: AttachPolicy. Credentials may be compromised.,Security,"1. Immediately rotate/deactivate the compromised IAM credentials.
2. Review CloudTrail logs for all actions taken by the compromised user.
3. Revert any unauthorized changes (new users, policies, resources).
4. Enable MFA on all IAM accounts if not already enabled.
5. Implement IP-based access restrictions for console access.
6. Conduct a full IAM access review.",Critical
Scheduled job failures in Ticket System,Cron/scheduled jobs in Document Manager have been failing since since this morning ago. Jobs: data sync. Error: NullPointerException. Environment: production.,Application,"1. Check cron job logs for specific error messages.
2. Verify database/external service connectivity from the job runner.
3. Check if job runner has sufficient resources (CPU/memory).
4. Manually trigger the failed job to test.
5. Fix the root cause, clear any stuck/orphaned job locks, and re-enable scheduling.",High
Vulnerability scan found 8 critical CVEs,Scheduled vulnerability scan of DR environment found 32 critical and 93 high-severity CVEs. Affected: Apache Struts on 14 servers. Scan tool: Rapid7.,Security,"1. Prioritize critical CVEs with known exploits (CISA KEV catalog).
2. Apply security patches to affected systems starting with production.
3. For packages: update dependencies and rebuild containers.
4. Implement compensating controls (WAF rules) while patching.
5. Re-run the vulnerability scan to verify remediation.
6. Update the patch management policy and schedule.",Critical
Azure service quota exceeded in ap-south-1,Hitting service quota limits for EBS volumes in AWS eastus. Cannot provision new resources for Frontend.,Infrastructure,"1. Review current quota usage in GCP console.
2. Submit a service quota increase request.
3. Clean up unused/orphaned resources.
4. Consider using a different region for non-critical workloads.
5. Implement resource tagging and lifecycle policies.",Medium
Docker container crash loop on dev-db-7,Docker container for Payment Gateway is in a crash loop (CrashLoopBackOff) on qa-api-22. Logs show: Error 502. Environment: pre-prod. Restarted 9 times in the last hour.,Infrastructure,"1. Inspect container logs: `docker logs <container_id>`.
2. Check resource limits (memory/CPU) — container may be OOM killed.
3. Verify environment variables and config mounts.
4. Roll back to the previous known-good image.
5. Fix the root cause in application code and redeploy.",High
Data exfiltration alert from DLP system,DLP system detected bulk email export of 2185 sensitive records by alex.brown@company.com. Data classification: proprietary. Destination: unknown endpoint.,Security,"1. Immediately revoke the user's access to sensitive systems.
2. Interview the user and their manager to determine intent.
3. Assess the scope of data potentially exfiltrated.
4. Engage legal/compliance team for incident documentation.
5. Implement additional DLP rules to prevent recurrence.
6. File a data breach notification if required by regulations.",Critical
Redis storage reaching capacity on qa-worker-29,"Oracle data directory on dev-proxy-12 is at 89% capacity (114GB / 279GB). If it fills up, the database will go read-only or crash. Invoice System and Backend will be affected. Growth rate: 4GB/day.",Database,"1. Identify the largest tables and indexes consuming space.
2. Run VACUUM/OPTIMIZE to reclaim dead tuple space.
3. Archive or delete data older than the retention policy.
4. Expand disk/EBS volume size.
5. Implement table partitioning for time-series data.
6. Set up storage alerts at 80% and 90% thresholds.",High
SSL certificate expiring on uat-web-13,SSL certificate for Reporting Engine on dev-auth-9 expires in 2 days. Browser showing security warnings. Domain: portal.company.com.,Infrastructure,"1. Generate a new CSR or use Let's Encrypt for auto-renewal.
2. Install the renewed certificate on the web server.
3. Verify certificate chain is complete.
4. Restart the web server/load balancer.
5. Set up automated certificate renewal and expiry monitoring.",Critical
Cassandra replication lag at 108 seconds,Read replica of Redis on uat-cache-17 has a replication lag of 2069 seconds. HR Dashboard reads from the replica are returning stale data. This is affecting user profile reads. Environment: production.,Database,"1. Check replica status and identify the bottleneck.
2. Review write throughput on the primary — check for bulk operations.
3. Ensure the replica has sufficient IOPS and network bandwidth.
4. Temporarily direct reads to the primary if lag is critical.
5. Consider adding more replicas or upgrading instance size.
6. Set up replication lag monitoring with 60s threshold alerts.",High
SSO login failing for Order Management,"Users cannot authenticate to Notification Hub via SSO (Okta). Getting ""401 Unauthorized"" error. 84 users affected. Started since yesterday ago.",Access Management,"1. Check SSO provider dashboard for service status.
2. Verify SAML/OIDC configuration — check certificate expiry.
3. Test SSO login in incognito mode to rule out cache issues.
4. If certificate expired, upload the new IdP certificate.
5. Check clock sync between IdP and SP (SAML is time-sensitive).
6. Enable SSO debug logging and review assertion content.",Critical
API response times degraded for CRM Portal,Average API response time for API Gateway has increased from 156ms to 8s. Users reporting slow page loads. Identity dashboard shows timeout spikes. Started since this morning ago.,Application,"1. Check APM/tracing for slowest endpoints.
2. Identify bottleneck: database queries, external API calls, or compute.
3. Add database query indexes if N+1 queries detected.
4. Implement caching for frequently accessed data.
5. Scale horizontally if load has genuinely increased.",Medium
WAF blocking legitimate traffic to CI/CD Pipeline,Web Application Firewall is incorrectly blocking legitimate API requests to Admin Console. 406 false positive blocks in the last hour. WAF rule XSS is too aggressive. Affecting Infrastructure operations.,Security,"1. Review blocked requests in WAF logs to confirm false positives.
2. Whitelist known-good IP ranges and user agents.
3. Tune the overly aggressive WAF rule thresholds.
4. Add custom exception rules for the affected API endpoints.
5. Monitor for 24 hours after changes to ensure no real attacks slip through.",Medium
Scheduled job failures in Notification Hub,Cron/scheduled jobs in SSO Portal have been failing since 5 minutes ago. Jobs: billing. Error: SQLSTATE[HY000]. Environment: QA.,Application,"1. Check cron job logs for specific error messages.
2. Verify database/external service connectivity from the job runner.
3. Check if job runner has sufficient resources (CPU/memory).
4. Manually trigger the failed job to test.
5. Fix the root cause, clear any stuck/orphaned job locks, and re-enable scheduling.",Medium
Load balancer health check failures for Email Service,"HAProxy load balancer reporting 3 out of 7 backend targets as unhealthy for SSO Portal. Health check path: /api/status. Traffic being sent to fewer instances, causing overload.",Network,"1. Check health check endpoint on failing instances — curl manually.
2. Verify security groups allow health check traffic from the load balancer.
3. Check if application is listening on the expected port.
4. Review application health check logic — it may be failing on DB/dependency checks.
5. Restart unhealthy instances and monitor.
6. Increase health check timeout/threshold to avoid flapping.",High
GCP EC2/VM instance unreachable,Instance uat-web-1 in Azure eastus is not responding to SSH or health checks. The Reporting Engine hosted on it is down. Started 30 minutes ago.,Infrastructure,"1. Check GCP console for instance status checks.
2. Review system logs and screenshot from console.
3. If status checks failed, stop and restart the instance.
4. Verify security group and NACL rules.
5. If hardware issue, migrate to a new instance.
6. Update monitoring to catch this earlier.",Critical
Phishing email reported by Network team members,Multiple users from Compliance reported a phishing email impersonating Payroll. Email contains a fake invoice. 13 users may have interacted with it.,Security,"1. Block the sender domain at the email gateway.
2. Search mailboxes for the phishing email and delete all instances.
3. Identify users who clicked the link or opened the attachment.
4. Force password resets for affected users.
5. Run endpoint scans on machines that interacted with the email.
6. Send a company-wide phishing awareness reminder.",Critical
Inventory Manager sending duplicate notifications,Admin Console is sending duplicate messages to users. Some users received 4 copies of the same alert. Issue started after the last deployment.,Application,"1. Check message queue for duplicate entries.
2. Verify idempotency keys are being used for message dispatch.
3. Check if multiple instances of the worker are processing the same queue.
4. Add deduplication logic using message IDs.
5. Clear the affected queue and reprocess.",Medium
CDN cache invalidation not propagating for Chat Service,"After deploying updated static assets for Document Manager, CDN (Cloudflare) is still serving stale content. Cache invalidation was triggered but has not propagated globally. Users in EU still seeing old version.",Network,"1. Verify invalidation request was submitted successfully.
2. Check invalidation status in CDN dashboard.
3. Force a wildcard invalidation if targeted invalidation isn't working.
4. Add cache-busting query parameters to asset URLs as a workaround.
5. Review cache TTL settings — reduce for frequently updated assets.
6. Implement versioned filenames for static assets.",High
WAF blocking legitimate traffic to Email Service,Web Application Firewall is incorrectly blocking legitimate API requests to Email Service. 159 false positive blocks in the last hour. WAF rule rate limiting is too aggressive. Affecting Database operations.,Security,"1. Review blocked requests in WAF logs to confirm false positives.
2. Whitelist known-good IP ranges and user agents.
3. Tune the overly aggressive WAF rule thresholds.
4. Add custom exception rules for the affected API endpoints.
5. Monitor for 24 hours after changes to ensure no real attacks slip through.",High
Service account key rotation overdue for GCP,"18 service account keys in Azure have not been rotated in 361 days, violating the 85-day rotation policy. Accounts used by: Analytics Dashboard, Docker. Compliance audit flagged this as a finding.",Security,"1. Generate new keys for each service account.
2. Update the keys in all dependent services, CI/CD pipelines, and secret managers.
3. Revoke the old keys after confirming new keys work.
4. Implement automated key rotation via Vault.
5. Set up alerts for key age exceeding policy threshold.",Medium
VPN disconnections for remote employees,Multiple remote employees reporting GlobalProtect VPN disconnecting every 7 minutes. Affects 48 users across US East region. Users lose access to internal resources. OS: Ubuntu 22.04. Started 5 minutes ago.,Network,"1. Check VPN gateway logs for disconnect reasons.
2. Verify VPN server capacity — may need scaling.
3. Check for MTU mismatch issues — set MTU to 1400 on client.
4. Update VPN client to the latest version.
5. Check if ISP-level throttling is affecting VPN traffic.
6. Enable VPN split-tunneling to reduce gateway load.",High
Terraform build failures on prod-proxy-11,ArgoCD pipeline has been failing for the last since yesterday on staging-db-6. Error: NullPointerException. All deployments to pre-prod are blocked. Team SRE is affected.,Infrastructure,"1. Check Consul system logs for root cause.
2. Restart the build agent/runner service.
3. Verify network connectivity to artifact repositories.
4. Clear workspace cache and retry the build.
5. If persistent, provision a new build agent.",High
DNS resolution failures for internal services,Internal DNS resolution failing intermittently. *.svc.cluster.local not resolving. Affecting 6 services including Reporting Engine. DNS server: 120.38.35.154. Started 10 minutes ago.,Network,"1. Check DNS server health and query logs.
2. Verify DNS zone configurations and SOA records.
3. Flush DNS cache on affected clients: `ipconfig /flushdns` or equivalent.
4. Check if DNS server is overwhelmed — add secondary DNS.
5. Verify network ACLs are not blocking DNS (UDP/TCP 53).
6. Test resolution with `nslookup` and `dig` for debugging.",High
Oracle storage reaching capacity on uat-worker-15,"MariaDB data directory on dev-cache-17 is at 86% capacity (279GB / 305GB). If it fills up, the database will go read-only or crash. Ticket System and Compliance will be affected. Growth rate: 7GB/day.",Database,"1. Identify the largest tables and indexes consuming space.
2. Run VACUUM/OPTIMIZE to reclaim dead tuple space.
3. Archive or delete data older than the retention policy.
4. Expand disk/EBS volume size.
5. Implement table partitioning for time-series data.
6. Set up storage alerts at 80% and 90% thresholds.",High
Monitoring alerts flooding from QA cluster,Receiving 180 alerts per hour from Vault for the staging environment. Alert fatigue is causing the Frontend team to miss real issues. Most alerts are for pod restarts.,Infrastructure,"1. Review and categorize current alert rules.
2. Increase alert thresholds for non-critical metrics.
3. Add alert grouping and deduplication rules.
4. Implement alert silencing for known maintenance windows.
5. Create tiered alerting: P1 pages, P2 Slack, P3 dashboard only.",Low
Bandwidth throttling detected on staging-web-30,Network throughput on uat-monitor-1 limited to 94Mbps instead of expected 9Gbps. Data transfer jobs running 41x slower than normal. Issue detected by SRE team.,Network,"1. Check NIC configuration — verify speed/duplex settings.
2. Check for QoS policies or traffic shaping rules.
3. Run iperf3 between affected servers to measure actual throughput.
4. Verify switch port configuration matches expected speed.
5. Replace network cable if physical layer issue suspected.
6. Check for VM-level network throttling in hypervisor settings.",Medium
Database migration failed for Deployment Manager,Schema migration for Notification Hub on MariaDB (pre-prod) failed mid-way. Migration renamed columns. The database is now in an inconsistent state. Rollback was partially successful.,Database,"1. Assess current schema state vs expected state.
2. If possible, manually complete or roll back the failed migration.
3. Fix the migration script for idempotency.
4. Restore from the pre-migration backup if state is unrecoverable.
5. Re-run the migration in a staging environment first.
6. Implement migration dry-run and backup as pre-deployment steps.",High
Privilege escalation detected in sandbox environment,SIEM alert: user emma.williams@company.com escalated privileges from editor to superuser role without authorization in sandbox. admin API call detected.,Security,"1. Immediately revoke the escalated privileges.
2. Review audit logs to determine how the escalation occurred.
3. Check for any actions performed with elevated access.
4. Patch the privilege escalation vector.
5. Implement alerts for unauthorized role changes.
6. Review IAM policies to prevent similar escalation paths.",Critical
Admin Console login page broken after update,"Users cannot log into Reporting Engine after the latest release. Login form submits but returns a blank page or Error 503. Affecting all users on Edge 120, macOS Ventura. SSO redirect flow is broken.",Application,"1. Check frontend console errors in the browser.
2. Verify SSO/OAuth callback URLs are correctly configured.
3. Check if the auth service/identity provider is reachable.
4. Review recent code changes to the login flow.
5. Roll back the frontend build if needed and redeploy.",Critical
CRM Portal memory leak causing OOM crashes,"Invoice System on prod-worker-28 is consuming increasing memory over time, eventually hitting OOM and crashing. RSS grows from 206MB to 3GB within 3 hours. Environment: DR.",Application,"1. Generate a heap dump for analysis: use appropriate profiler.
2. Identify leaking objects/connections using profiling tools.
3. Check for unclosed database connections, event listeners, or cache growth.
4. Apply fix and deploy with memory limits.
5. Set up memory usage alerting at 80% of container limit.",High
Service account key rotation overdue for GCP,"13 service account keys in Azure have not been rotated in 153 days, violating the 85-day rotation policy. Accounts used by: API Gateway, Vault. Compliance audit flagged this as a finding.",Security,"1. Generate new keys for each service account.
2. Update the keys in all dependent services, CI/CD pipelines, and secret managers.
3. Revoke the old keys after confirming new keys work.
4. Implement automated key rotation via AWS Secrets Manager.
5. Set up alerts for key age exceeding policy threshold.",High
Malware detected on endpoint prod-auth-13,Endpoint protection (Carbon Black) flagged a ransomware on prod-log-17 used by kumar.williams@company.com. File: chrome_update.bat. Status: quarantined.,Security,"1. Immediately isolate the affected machine from the network.
2. Run a full system scan with the endpoint protection tool.
3. Check if the malware has spread to other machines on the network.
4. Reset all credentials used on the affected machine.
5. Reimage the machine if the infection is severe.
6. Submit the malware sample to the threat intelligence team.",Critical
MariaDB memory at 96% utilization,MariaDB instance qa-log-11 has been at 100% CPU utilization for 2 hours. Query queue is building up. API Gateway response times severely degraded. Environment: production.,Database,"1. Identify the resource-consuming queries/processes.
2. Kill any runaway queries that are not critical.
3. Vertically scale the instance (upgrade CPU/memory).
4. Optimize the top 5 most expensive queries.
5. Implement query timeout settings.
6. Set up proactive alerting at 80% utilization threshold.",Critical
dev-monitor-18 disk space critical,Server prod-worker-26 in QA environment is at 95% disk usage. Datadog builds are failing due to insufficient space. Affecting the Identity team. OS: RHEL 9.,Infrastructure,"1. SSH into the server and identify large files with `du -sh /var/*`.
2. Prune old Docker images: `docker system prune -af`.
3. Clear old build artifacts and logs older than 30 days.
4. Expand EBS/disk volume by 60GB.
5. Set up disk space monitoring alert at 80% threshold.",Critical
BGP peering session down with ISP,BGP peering session with primary ISP is down for 3 hours. Prefix advertisements withdrawn. Traffic failover to backup link is active. External-facing services including HR Dashboard may be affected.,Network,"1. Check router BGP neighbor status and logs.
2. Verify physical layer — check for fiber/port issues.
3. Contact the ISP NOC with BGP session details.
4. If hardware issue, move to backup port/router.
5. Verify failover routing is working correctly.
6. After restoration, verify all prefixes are being advertised.",Critical
Admin Console file upload failing with size limit error,"Users cannot upload files larger than 2MB in CI/CD Pipeline. Error: ""Request entity too large"" or SQLSTATE[HY000]. This is blocking Cloud from uploading contracts.",Application,"1. Check and increase upload size limits in the web server config (nginx/Apache).
2. Update application-level body parser limits.
3. Verify cloud storage (S3/GCS) bucket permissions.
4. Consider implementing multipart/chunked upload for large files.
5. Add user-friendly error messages for size limit violations.",Medium
Phishing email reported by Platform Engineering team members,Multiple users from SRE reported a phishing email impersonating Microsoft. Email contains a credential harvesting form. 28 users may have interacted with it.,Security,"1. Block the sender domain at the email gateway.
2. Search mailboxes for the phishing email and delete all instances.
3. Identify users who clicked the link or opened the attachment.
4. Force password resets for affected users.
5. Run endpoint scans on machines that interacted with the email.
6. Send a company-wide phishing awareness reminder.",Critical
CDN cache invalidation not propagating for Ticket System,"After deploying updated static assets for Chat Service, CDN (Fastly) is still serving stale content. Cache invalidation was triggered but has not propagated globally. Users in EU still seeing old version.",Network,"1. Verify invalidation request was submitted successfully.
2. Check invalidation status in CDN dashboard.
3. Force a wildcard invalidation if targeted invalidation isn't working.
4. Add cache-busting query parameters to asset URLs as a workaround.
5. Review cache TTL settings — reduce for frequently updated assets.
6. Implement versioned filenames for static assets.",Medium
Privilege escalation detected in development environment,SIEM alert: user arjun.sharma@company.com escalated privileges from editor to root role without authorization in sandbox. admin API call detected.,Security,"1. Immediately revoke the escalated privileges.
2. Review audit logs to determine how the escalation occurred.
3. Check for any actions performed with elevated access.
4. Patch the privilege escalation vector.
5. Implement alerts for unauthorized role changes.
6. Review IAM policies to prevent similar escalation paths.",Critical
Load balancer health check failures for Reporting Engine,"Envoy load balancer reporting 9 out of 15 backend targets as unhealthy for CRM Portal. Health check path: /api/status. Traffic being sent to fewer instances, causing overload.",Network,"1. Check health check endpoint on failing instances — curl manually.
2. Verify security groups allow health check traffic from the load balancer.
3. Check if application is listening on the expected port.
4. Review application health check logic — it may be failing on DB/dependency checks.
5. Restart unhealthy instances and monitor.
6. Increase health check timeout/threshold to avoid flapping.",High
